Year,Quarterly,Long Term,PO Number,Department Full Name,Department,Project Shortname,Projects Value,Our Projects / Other Dept. Projects,Project Status 1,Project Status,Savings,P.O. End Date,GAP 1,GAP 2,GAP 3,GAP 4,Finance Approved Value,Created Value,Submitted Value,Built Cost,Invoice Submitted,Month Target,Target,Actual,Stages
2020,Q3,First 6 Months,851256,Call Motions & Insurance,IMC,IGdfdW 201dfd7 - vPfdOP,"1,860,257",Our Projects,2,Closed,"686,153",18-Oct-19,0,0,0,0,"1,860,257","1,860,257","1,860,257","1,860,257","1,860,257",18-Jul,128,120,YRE Under Creation
2021,Q1,First 6 Months,851285,Call Motions & Insurance,IMC,"IPMPLS, IGW awernd wer Expansion 20wer18 - IPMPererLS 201ere8 (0268562)","79,864",Our Projects,3,Closed,"79,864",30-Sep-20,"-217,821",0,"-60,750","-703,459","13,498,859","13,498,859","13,498,859","13,438,109","13,438,109",18-Sep,90,90,YRE Under Creation
2021,Q2,First 6 Months,851223,Call Motions & Insurance,IMC,Netwsdfork Functions sdf Infrastructure ( NFVI ) - 2018,"26,000,000",Our Projects,2,Current,"45,345,345",18-Oct-19,"-217,821",0,"-60,750","-703,459","26,000,000","26,000,000","26,000,000","26,000,000","26,000,000",18-Oct,111,96,YRE Under Creation
2021,Q4,First 6 Months,855785,Call Motions & Insurance,IMC,NfgfgBB - fgfg Imfgfgfpact,"4,583,373",Our Projects,3,Current,"79,864",01-May-22,0,0,"-472,091","-703,459","4,583,373","4,583,373","2,640,298","2,168,207","1,464,748",18-Aug,128,128,OPE Sergfd
2020,Q4,First 6 Months,856858,Code & Messaging Second & Solutions,SSMC,Location Based Service,"25,925,329",Our Projects,1,Cancelled,"25,925,329",28-Feb-19,"-3,448","-3,448","-3,448","-22,075",  -   ,  -   ,  -   ,  -   ,  -   ,20-Jan,145,128,OPE Sergfd
2020,Q4,First 6 Months,885735,Code & Messaging Second & Solutions,SSMC,Locking Data SIM LS on smartphones DMC ,"686,153",Our Projects,2,Closed,"686,153",25-Dec-18,"-3,448","-3,448","-3,448","-22,075","686,153","686,153","686,153","686,153","686,153",19-Feb,90,89,TA Approval
2020,Q1,First 6 Months,885752,Code & Messaging Second & Solutions,SSMC,Locking Data SIM LS on smartphones SIM OTA ,"1,694,205",Our Projects,2,Closed,"3,947,433",22-Jul-18,"-3,448","-3,448","-3,448","-22,075","1,694,205","1,694,205","1,694,205","1,694,205","1,694,205",19-Apr,90,90,Pnder Kick On
2020,Q2,First 6 Months,885436,Code & Messaging Second & Solutions,SSMC,USdfgSD NGIN SIGTRdfgAN Endfgdhdfgancement 2017 ,"1,998,780",Our Projects,2,Closed,"55,000,000",17-Nov-18,"-3,448","-3,448","-3,448","-22,075","1,998,780","1,998,780","1,998,780","1,998,780","1,998,780",19-May,128,128,LK Approval
2020,Q3,First 6 Months,885456,Code & Messaging Second & Solutions,SSMC,MCA (Missed Call Alerts)  ,"2,799,995",Our Projects,2,Closed,"202,078",17-Nov-18,"-3,448","-3,448","-3,448","-22,075","2,597,917","2,597,917","2,597,917","2,597,917","2,597,917",19-Jul,88,88,Hipas vendor
2020,Q4,First 6 Months,885456,Code & Messaging Second & Solutions,SSMC,MCA (Missed Call Alerts)  ,"2,799,995",Our Projects,2,Closed,"202,078",17-Nov-18,"-3,448","-3,448","-3,448","-22,075","2,597,917","2,597,917","2,597,917","2,597,917","2,597,917",19-Sep,90,90,Response Received
2020,Q1,First 6 Months,856133,Code & Messaging Second & Solutions,SSMC,"dfgdgd, IwGwewereW and Transwertport Expansion 2018 - IPMPLS 2018 (0268562) (NMS PART)","5,500,000",Our Projects,2,Closed,"196,706",04-Apr-19,"-3,448","-3,448","-3,448","-22,075","5,500,000","5,500,000","5,500,000","5,303,294","5,303,294",18-Nov,128,110,ASP Evaluation
2020,Q1,First 6 Months,856133,Code & Messaging Second & Solutions,SSMC,"dfgdgd, IGwereW and Transwertport Expansion 2018 - IPMPLS 2018 (0268562) (NMS PART)","5,500,000",Our Projects,2,Closed,"196,706",04-Apr-19,"-3,448","-3,448","-3,448","-22,075","5,500,000","5,500,000","5,500,000","5,303,294","5,303,294",19-Oct,145,128,T-Go Approval
2020,Q2,First 6 Months,885728,Code & Messaging Second & Solutions,SSMC,sdf wsdf asdfsnd Service sdf (RTSE)  ,"6,499,999",Our Projects,2,Closed,"212,239",21-Dec-18,"-3,448","-3,448","-3,448","-22,075","6,499,999","6,499,999","6,335,149","6,335,149","6,287,760",18-Dec,128,120,Mommercial Negiation
